STATE,NAME,CENSUSAREA,Longitude,Latitude,Hospital Count,Bed Count,FIPS_plotly,POPESTIMATE2018,Median_Household_Income_2018
GA,Fayette,194.342,33.41033094751506,-84.49116454675375,1.0,157.0,13113,113459.0,95021.0
GA,Gilmer,426.54,34.69071343968068,-84.45280623502725,,,13123,30816.0,47757.0
CO,Hinsdale,1117.251,37.82012305923714,-107.29919595873142,,,08053,811.0,62149.0
CO,Jackson,1613.723,40.66703357758967,-106.3414668976729,,,08057,1399.0,51457.0
CO,Jefferson,764.208,39.58580195376103,-105.24904329499049,3.0,764.0,08059,580233.0,85550.0
CO,Lincoln,2577.626,38.98627999265945,-103.5156282572709,1.0,50.0,08073,5610.0,46690.0
CO,Montezuma,2029.527,37.339702911006,-108.59766107419632,1.0,25.0,08083,26158.0,50180.0
CO,Phillips,687.928,40.59380127099292,-102.35501325293474,2.0,40.0,08095,4286.0,52367.0
CO,Rio Grande,911.958,37.58368650220211,-106.38478383774334,1.0,17.0,08105,11250.0,44171.0
CO,San Juan,387.488,37.76202072599636,-107.68498375834847,,,08111,762.0,46878.0
CO,Weld,3987.238,40.55463121812205,-104.39342800193255,1.0,300.0,08123,314305.0,75629.0
CT,Windham,512.91,41.829834295282836,-71.98642265853971,2.0,234.0,09015,117027.0,65182.0
FL,Alachua,875.02,29.677031440033357,-82.36048137049484,6.0,1765.0,12001,269956.0,51026.0
FL,Calhoun,567.334,30.40588021569779,-85.19187037142044,1.0,25.0,12013,14587.0,38323.0
FL,Columbia,797.574,30.22585901183322,-82.62405448617196,3.0,346.0,12023,70503.0,46195.0
FL,Gadsden,516.332,30.576335090744795,-84.6227088968579,2.0,1253.0,12039,45894.0,42259.0
FL,Highlands,1016.615,27.342068889487663,-81.34492002960374,3.0,323.0,12055,105424.0,39994.0
FL,Holmes,478.777,30.867724011942013,-85.81003904146263,1.0,20.0,12059,19477.0,38040.0
FL,Leon,666.852,30.461281143776525,-84.26888367277051,5.0,1208.0,12073,292502.0,51046.0
AK,Valdez-Cordova,34239.88,61.56118889769312,-144.4949890103705,3.0,44.0,02261,9164.0,68528.0
AK,Wade Hampton,17081.433,62.15629893280503,-163.37836407444814,,,,,
AZ,Cochise,6165.69,31.879363577094107,-109.7513111028301,5.0,184.0,04003,126770.0,49164.0
AZ,Maricopa,9200.143,33.3488682574538,-112.49150982280672,69.0,9705.0,04013,4410824.0,65234.0
AR,Arkansas,988.77,34.28571178790588,-91.37260076487702,2.0,25.0,05001,17769.0,43887.0
AR,Boone,590.231,36.308230377025154,-93.09239437930405,1.0,174.0,05009,37480.0,44482.0
AR,Clark,866.074,34.04538624940219,-93.17298817037864,1.0,25.0,05019,22061.0,45408.0
AR,Conway,552.25,35.26575970890724,-92.69911895475579,1.0,35.0,05029,20891.0,44565.0
AR,Drew,828.356,33.59000712713285,-91.71896475163751,1.0,49.0,05043,18328.0,42494.0
AR,Garland,677.781,34.57663241372494,-93.14784180768363,5.0,611.0,05051,99154.0,43610.0
AR,Howard,588.554,34.08939934331691,-93.99318473644635,1.0,0.0,05061,13341.0,40199.0
AR,Johnson,659.804,35.56900507535413,-93.45939080664397,1.0,80.0,05071,26742.0,39381.0
AR,Lonoke,770.728,34.75564317050816,-91.88957926407626,,,05085,73657.0,56651.0
AR,Montgomery,779.88,34.54011847149464,-93.66029626177685,,,05097,8924.0,38318.0
AR,Newton,820.896,35.92055882233452,-93.22023278513439,,,05101,7805.0,36078.0
AR,Poinsett,758.389,35.57320915594586,-90.66321276124471,,,05111,23974.0,37370.0
AR,St. Francis,634.771,35.02201855031238,-90.74828351211721,1.0,118.0,05123,25439.0,33257.0
AR,Searcy,666.095,35.910116262184516,-92.7003306722076,,,05129,7958.0,31659.0
GA,Wheeler,295.484,32.12275557008053,-82.72566659884858,1.0,25.0,13309,7879.0,32691.0
GA,Whitfield,290.464,34.813300396746826,-84.96126750266609,1.0,282.0,13313,104062.0,47074.0
GA,Wilkinson,447.308,32.80254246600701,-83.17238196633362,,,13319,9036.0,41036.0
HI,Maui,1161.521,20.86273990123093,-156.5671309764866,4.0,258.0,15009,167207.0,78503.0
ID,Boise,1899.237,43.98948131451415,-115.73223547232,,,16015,7634.0,56837.0
ID,Boundary,1268.56,48.76695780510156,-116.46297742819613,1.0,20.0,16021,11948.0,47118.0
ID,Gem,560.9,44.05341338046797,-116.4020252121352,1.0,16.0,16045,17634.0,49857.0
ID,Jefferson,1093.501,43.819694041339254,-112.30968898245624,,,16051,29439.0,61927.0
ID,Latah,1075.996,46.812257478702314,-116.71121632285231,1.0,25.0,16057,40134.0,49538.0
ID,Minidoka,757.591,42.857485529448276,-113.63529255575584,1.0,25.0,16067,20825.0,53447.0
ID,Teton,449.456,43.75296105577312,-111.20582898916614,1.0,13.0,16081,11640.0,68749.0
IL,Bond,380.279,38.88807783030963,-89.4352196870247,1.0,150.0,17005,16630.0,54800.0
IL,Brown,305.607,39.96199888742335,-90.75067649396897,,,17009,6556.0,55327.0
IL,Champaign,996.266,40.13949349503123,-88.19816781100889,3.0,549.0,17019,209983.0,53251.0
IL,Coles,508.291,39.519490837735304,-88.2235855667679,1.0,118.0,17029,50885.0,47291.0
IL,Cumberland,346.024,39.2743233555154,-88.24016336396612,,,17035,10808.0,60572.0
IL,Effingham,478.777,39.059613816722724,-88.58974013034933,1.0,146.0,17049,34208.0,60773.0
IL,Franklin,408.889,37.99305688886463,-88.92953748874962,1.0,25.0,17055,38701.0,42071.0
IL,Hamilton,434.665,38.08154691505814,-88.53882583999224,1.0,25.0,17065,8163.0,53028.0
IN,Gibson,487.486,38.311041050725215,-87.57719657876362,1.0,25.0,18051,33452.0,56960.0
IN,Hancock,306.016,39.82290437713999,-85.77102305781972,1.0,68.0,18059,76351.0,73831.0
IN,Huntington,382.651,40.82908971222844,-85.488203141529,1.0,36.0,18069,36240.0,53809.0
IN,Jennings,376.583,38.9942401420458,-85.62624710983926,1.0,17.0,18079,27611.0,51560.0
IN,Kosciusko,531.381,41.24542885701658,-85.86307133821795,2.0,88.0,18085,79344.0,57367.0
IN,Madison,451.915,40.16144939210792,-85.71956420179853,5.0,402.0,18095,129641.0,49522.0
IN,Monroe,394.509,39.1611785366919,-86.52409991971065,3.0,368.0,18105,146917.0,48883.0
IN,Ohio,86.14,38.94997256125537,-84.96297431630899,,,18115,5844.0,58022.0
IN,Pike,334.238,38.40288932793565,-87.23414281658515,,,18125,12410.0,54265.0
IN,Pulaski,433.649,41.04180014812699,-86.69887684971017,1.0,25.0,18131,12469.0,49730.0
IN,Rush,408.124,39.62004736772327,-85.46546339868159,1.0,25.0,18139,16663.0,53271.0
IN,Sullivan,447.142,39.09394320708524,-87.41265340666226,1.0,25.0,18153,20690.0,47554.0
IN,Warrick,384.815,38.09524873220749,-87.27259772948312,4.0,181.0,18173,62567.0,75534.0
IN,Wells,368.087,40.729117371034164,-85.22137135326845,1.0,79.0,18179,28206.0,60010.0
IN,Whitley,335.569,41.137485521389316,-85.50945142871694,1.0,30.0,18183,34074.0,67758.0
IA,Audubon,442.961,41.686472012253006,-94.90915033384456,1.0,25.0,19009,5506.0,51210.0
IA,Bremer,435.477,42.77461495770453,-92.31795936898344,2.0,50.0,19017,24947.0,74646.0
IA,Buena Vista,574.915,42.73545875251617,-95.15100161714642,1.0,35.0,19021,19874.0,52683.0
IA,Cedar,579.436,41.77233777297395,-91.1324668374732,,,19031,18627.0,67597.0
IA,Clarke,431.167,41.028681813729456,-93.78499766503806,1.0,25.0,19039,9423.0,52541.0
IL,Henry,822.985,41.35338994944804,-90.13176107944791,2.0,86.0,17073,49090.0,58042.0
IL,Jackson,584.081,37.7855732054852,-89.3781802088852,2.0,184.0,17077,57419.0,41445.0
IL,Jasper,494.51,39.01054274636361,-88.15437048654992,,,17079,9611.0,54552.0
IL,Kane,520.058,41.93895376936037,-88.42874784967397,5.0,1101.0,17089,534216.0,79834.0
IL,Lee,724.896,41.74478029238444,-89.29832086099891,1.0,80.0,17103,34223.0,54915.0
IL,Logan,618.059,40.12311622855918,-89.37075062326403,1.0,25.0,17107,28925.0,52959.0
IL,Marion,572.363,38.64963380736447,-88.91898967723041,2.0,135.0,17121,37620.0,46096.0
IL,Menard,314.437,40.02912575112992,-89.80538954120499,,,17129,12288.0,74872.0
IL,Moultrie,335.943,39.641874512556136,-88.6209996869298,,,17139,14717.0,59901.0
IL,Perry,441.761,38.08566992742432,-89.37293126934233,2.0,50.0,17145,21174.0,49965.0
